fyear,ticker,statevariable,fixedcosts,couponrate,liabilities,equityobserved
12312017,PX.N,4248,4087.5441,0.013616715,13914,44285.71015
12311998,SEE.N,1021.569,752.9519093,0.068309718,1811.792,4259.871752
12311999,SEE.N,1085.46,805.5264802,0.082967001,1542.541,4331.519819
12312000,SEE.N,929.221,758.002039,0.042920149,1945.38,2551.60682
12312001,SEE.N,1215.745,803.4213265,0.073283152,1691.603,3417.646009
12312002,SEE.N,975.293,826.3211034,0.051609746,2120.801,3130.903924
12312003,SEE.N,1231.37,945.6792037,0.052861332,3580.5,4600.634207
12312004,SEE.N,1216,973.3185895,0.043646174,3521.5,4451.479423
12312005,SEE.N,1158.9,999.1194094,0.043115118,3472.1,4571.904463
12312006,SEE.N,1282,1063.13706,0.043967797,3366.1,5233.831249
12312007,SEE.N,1268.9,1115.898251,0.041126744,3418.7,3737.649486
12312008,SEE.N,1287.5,1119.831072,0.041857274,3060.4,2358.642909
12312009,SEE.N,1414.4,1111.365064,0.048108578,3219.8,3474.866256
12312010,SEE.N,1343.7,1122.431294,0.053906198,2997.8,4063.865849
12312011,SEE.N,1600.4,1496.362437,0.025543658,8479.6,3304.358791
12312012,SEE.N,2556.8,2449.392854,0.048773994,7887.4,3405.935045
12312013,SEE.N,2795,2452.758682,0.046522417,7759.7,6679.637362
12312014,SEE.N,2336.9,2875.997927,0.104618285,6790.4,8959.417604
12312015,SEE.N,2868,2222.750559,0.033396822,6877.9,8805.103888
12312016,SEE.N,2726.4,2173.758611,0.031681273,6789.5,8764.562957
12312017,SEE.N,1404.7,1379.366292,0.041107644,5128,8893.046956
12311998,SHW.N,2139.061,1923.646704,0.030827715,2334.62,2513.85375
12311999,SHW.N,2222.383,1993.18044,0.026504104,2334.28,3478.9356
12312000,SHW.N,2268.111,2067.231846,0.028260414,2278.806,4224.726869
12312001,SHW.N,2347.27,2052.772361,0.02605832,2140.161,4299.5942
12312002,SHW.N,2385.485,2098.48345,0.02011125,2090.422,4234.010814
12312003,SHW.N,2479.622,2197.460604,0.017550976,2223.751,5064.2943
12312004,SHW.N,2668.081,2405.106342,0.015228728,2623.2,6308.30697
12312005,SHW.N,3121.43,2691.461209,0.018792663,2638.583,6218.271565
12312006,SHW.N,3394.547,2870.555777,0.022367002,3002.727,8572.036549
12312007,SHW.N,3546.926,2969.438647,0.024517749,3069.613,7290.668598
12312008,SHW.N,3585.497,3011.622447,0.023374166,2810.111,6984.912365
12312009,SHW.N,3435.067,2883.634838,0.014510194,2832.905,6987.456374
12312010,SHW.N,3513.459,3120.114505,0.022121218,3559.795,9039.539333
12312011,SHW.N,3739.523,3322.546167,0.011555267,3712.333,9262.715189
12312012,SHW.N,4190.322,3626.960574,0.009630575,4442.933,15859.92658
12312013,SHW.N,4620.468,3867.017504,0.014978607,4607.972,18594.61082
12312014,SHW.N,4975.286,4229.96777,0.015031483,4709.582,25251.23317
12312015,SHW.N,5431.144,4325.890215,0.014286828,4911.027,24168.89369
12312016,SHW.N,5631.787,4671.530716,0.033602239,4874.08,24968.02632
12311998,VMC.N,561.95,1353.040487,0.014356986,504.911,4410.494014
12311999,VMC.N,657.188,1283.57613,0.033550182,1447.861,4023.100069
12312000,VMC.N,695.874,1190.1439,0.029399528,1675.299,4834.511383
12312001,VMC.N,771.132,1088.336058,0.03565973,1713.838,4856.154018
12312002,VMC.N,676.234,962.5131428,0.033441317,1658.577,3806.992613
12312003,VMC.N,752.239,901.2690347,0.031232976,1742.037,4837.83004
12312004,VMC.N,821.158,840.1833471,0.026763641,1651.158,5592.495037
12312005,VMC.N,742.926,807.9570044,0.025625801,1456.774,6899.268134
12312006,VMC.N,876.241,779.9738878,0.023018699,1416.935,8485.855223
12312007,VMC.N,1045.966,771.418441,0.00931504,5176.36,7560.256916
12312008,VMC.N,957.649,911.6441335,0.033541729,5362.872,7663.939128
12312009,VMC.N,955.995,852.2736982,0.040411495,4487.634,6604.854132
12312010,VMC.N,711.846,822.6710599,0.041426518,4383.738,5695.40777
12312011,VMC.N,679.664,792.0348868,0.049716779,4437.697,5085.305328
12312012,VMC.N,710.682,724.7936998,0.048806596,4365.537,6745.495691
12312013,VMC.N,814.18,684.3934825,0.045881116,4321.037,7723.974723
12312014,VMC.N,775.136,717.6177418,0.062581804,3864.398,8656.843185
12312015,VMC.N,1023.934,687.0399708,0.056544553,3847.444,12661.30458
12312016,VMC.N,1094.613,613.9594751,0.034634274,3898.999,16558.50564
12312000,PKG.N,625.799,340.6585823,0.100607482,1254.688,1710.090113
12312001,PKG.N,594.045,345.7890531,0.097910389,1201.946,1916.179498
12312002,PKG.N,486.323,324.3810976,0.063219447,1186.676,1905.099108
12312003,PKG.N,523.238,370.6606292,0.087989182,1187.646,2304.779436
12312004,PKG.N,517.897,411.6711311,0.096213733,1265.204,2518.729821
12312005,PKG.N,472.587,358.8398748,0.027711595,1291.878,2481.346174
12312006,PKG.N,518.352,424.2231819,0.047092931,1295.205,2309.714228
12312007,PKG.N,563.838,443.9791035,0.029804015,1274.996,2978.217679
12312008,PKG.N,545.909,489.7269556,0.030976467,1255.792,1378.276434
12312009,PKG.N,568.256,514.1002321,0.028469013,1253.995,2369.651301
12312010,PKG.N,625.809,573.7755104,0.029007921,1216.909,2649.975722
12312011,PKG.N,639.265,645.914077,0.023726248,1483.589,2510.426635
12312012,PKG.N,751.3,763.4291337,0.044667309,1484.307,3704.661
12312013,PKG.N,1040.5,924.4866001,0.027193208,3887,6206.243015
12312014,PKG.N,1262.6,1108.365716,0.015194327,3751.4,7678.828429
12312015,PKG.N,1384.5,1309.784861,0.046881011,3639,6116.003527
12312016,PKG.N,1364.1,1376.12128,0.022851738,4017.2,7992.276971
12312000,MON.N,2138,2298.675242,0.048802737,4385,6983.018063
12312001,MON.N,1901,2143.120526,0.028636594,3946,8723.3913
12312002,MON.N,2388,2165.406707,0.021491112,3769,5032.100304
12312003,MON.N,621,1748.560524,0.016666667,4380,7540.23167
12312004,MON.N,2602,2283.609564,0.027393753,3906,14687.07776
12312005,MON.N,3269,2504.582295,0.025775272,4966,20815.57033
12312006,MON.N,3411,2740.508087,0.025562176,5203,28539.58005
12312007,MON.N,3848,3029.417245,0.024817518,5480,61018.3843
12312008,MON.N,5259,3490.341038,0.012765464,8617,38547.39729
12312009,MON.N,4419,3275.311729,0.017609737,7723,44579.21349
12312010,MON.N,3609,3348.362606,0.020932937,7739,37358.17799
12312011,MON.N,5243,3525.528018,0.019931102,8128,37511.63522
12312012,MON.N,5632,3791.843404,0.02332682,8188,50633.96873
12312013,MON.N,5450,3959.345329,0.02016129,7936,61178.18905
12312014,MON.N,6064,4299.071524,0.016776854,14067,57775.93488
12312015,MON.N,6214,4436.060916,0.028159571,14915,43375.10494
12312016,MON.N,5842,4626.353674,0.027713778,15191,46132.9433
12312017,MON.N,6632,4821.99124,0.029378151,14875,51406.55238
